2017-10-14 14:45:13 |  | executeEvents | action | Executing Events , 2017-10-14 14:45:02 
2017-10-14 14:45:13 |  | updateCaseLabels | action | Update case labels
2017-10-14 14:45:13 |  | unassignedCase | action | Unassigned case
2017-10-14 15:00:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 15:00:01 |  | resendEmails | action | Resending Emails
2017-10-14 15:00:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 15:00:16 |  | calculateDuration | action | Calculating Duration
2017-10-14 15:00:16 |  | executeEvents | action | Executing Events , 2017-10-14 15:00:01 
2017-10-14 15:00:16 |  | updateCaseLabels | action | Update case labels
2017-10-14 15:00:16 |  | unassignedCase | action | Unassigned case
2017-10-14 15:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 15:15:01 |  | resendEmails | action | Resending Emails
2017-10-14 15:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 15:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 15:15:12 |  | executeEvents | action | Executing Events , 2017-10-14 15:15:01 
2017-10-14 15:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 15:15:12 |  | unassignedCase | action | Unassigned case
2017-10-14 15:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 15:30:01 |  | resendEmails | action | Resending Emails
2017-10-14 15:30:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 15:30:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 15:30:12 |  | executeEvents | action | Executing Events , 2017-10-14 15:30:01 
2017-10-14 15:30:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 15:30:12 |  | unassignedCase | action | Unassigned case
2017-10-14 15:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 15:45:01 |  | resendEmails | action | Resending Emails
2017-10-14 15:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 15:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 15:45:12 |  | executeEvents | action | Executing Events , 2017-10-14 15:45:01 
2017-10-14 15:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 15:45:12 |  | unassignedCase | action | Unassigned case
2017-10-14 16:00:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 16:00:02 |  | resendEmails | action | Resending Emails
2017-10-14 16:00:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 16:00:13 |  | calculateDuration | action | Calculating Duration
2017-10-14 16:00:13 |  | executeEvents | action | Executing Events , 2017-10-14 16:00:01 
2017-10-14 16:00:13 |  | updateCaseLabels | action | Update case labels
2017-10-14 16:00:13 |  | unassignedCase | action | Unassigned case
2017-10-14 16:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 16:15:01 |  | resendEmails | action | Resending Emails
2017-10-14 16:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 16:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 16:15:12 |  | executeEvents | action | Executing Events , 2017-10-14 16:15:01 
2017-10-14 16:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 16:15:12 |  | unassignedCase | action | Unassigned case
2017-10-14 16:30:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 16:30:02 |  | resendEmails | action | Resending Emails
2017-10-14 16:30:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 16:30:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 16:30:12 |  | executeEvents | action | Executing Events , 2017-10-14 16:30:01 
2017-10-14 16:30:13 |  | updateCaseLabels | action | Update case labels
2017-10-14 16:30:13 |  | unassignedCase | action | Unassigned case
2017-10-14 16:45:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 16:45:01 |  | resendEmails | action | Resending Emails
2017-10-14 16:45:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 16:45:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 16:45:12 |  | executeEvents | action | Executing Events , 2017-10-14 16:45:01 
2017-10-14 16:45:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 16:45:12 |  | unassignedCase | action | Unassigned case
2017-10-14 17:00:02 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 17:00:02 |  | resendEmails | action | Resending Emails
2017-10-14 17:00:02 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 17:00:13 |  | calculateDuration | action | Calculating Duration
2017-10-14 17:00:13 |  | executeEvents | action | Executing Events , 2017-10-14 17:00:01 
2017-10-14 17:00:13 |  | updateCaseLabels | action | Update case labels
2017-10-14 17:00:13 |  | unassignedCase | action | Unassigned case
2017-10-14 17:15:01 |  | main | action | checking folder /opt/bitnami/apps/processmaker/htdocs/shared/sites/workflow
2017-10-14 17:15:01 |  | resendEmails | action | Resending Emails
2017-10-14 17:15:01 |  | unpauseApplications | action | Unpausing Applications
2017-10-14 17:15:12 |  | calculateDuration | action | Calculating Duration
2017-10-14 17:15:12 |  | executeEvents | action | Executing Events , 2017-10-14 17:15:01 
2017-10-14 17:15:12 |  | updateCaseLabels | action | Update case labels
2017-10-14 17:15:12 |  | unassignedCase | action | Unassigned case
